SampleID,Factor,Condition,pvalue_cutoff,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
NANOG_E8_rep1,NANOG,E8,0.01,1,BAM/05_09ZY_01E7JHU_s1-1_p44E8_Nanog_hg38_i45.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/NANOG_E8.bed,bed
NANOG_E8_rep2,NANOG,E8,0.01,2,BAM/06_09ZZ_01E7JHU_s1-2_p44E8_Nanog_hg38_i48.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/NANOG_E8.bed,bed
NANOG_L3i_rep1,NANOG,L3i,0.01,1,BAM/07_0A00_01E7JHU_s2-1_P351-10LIF3i_Nanog_hg38_i49.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/NANOG_L3i.bed,bed
NANOG_L3i_rep2,NANOG,L3i,0.01,2,BAM/08_0A01_01E7JHU_s2-2_P351-10LIF3i_Nanog_hg38_i50.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/NANOG_L3i.bed,bed
SOX2_E8_rep1,SOX2,E8,0.001,1,BAM/33_0B7V_01KEJHU_s1-1_p44E8_Sox2_hg38_i54.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/SOX2_E8.bed,bed
SOX2_E8_rep2,SOX2,E8,0.001,2,BAM/34_0B7W_01KEJHU_s1-2_p44E8_Sox2_hg38_i55.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/SOX2_E8.bed,bed
SOX2_L3i_rep1,SOX2,L3i,0.001,1,BAM/35_0B7X_01KEJHU_s2-1_P351-10LIF3i_Sox2_hg38_i60.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/SOX2_L3i.bed,bed
SOX2_L3i_rep2,SOX2,L3i,0.001,2,BAM/36_0B7Y_01KEJHU_s2-2_P351-10LIF3i_Sox2_hg38_i61.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/SOX2_L3i.bed,bed
OCT4_E8_rep1,POU5F1,E8,0.01,1,BAM/29_0B7R_01KEJHU_s1-1_p44E8_Oct4_hg38_i40.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/OCT4_E8.bed,bed
OCT4_E8_rep2,POU5F1,E8,0.01,2,BAM/30_0B7S_01KEJHU_s1-2_p44E8_Oct4_hg38_i44.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/OCT4_E8.bed,bed
OCT4_L3i_rep1,POU5F1,L3i,0.01,1,BAM/31_0B7T_01KEJHU_s2-1_P351-10LIF3i_Oct4_hg38_i52.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/OCT4_L3i.bed,bed
OCT4_L3i_rep2,POU5F1,L3i,0.01,2,BAM/32_0B7U_01KEJHU_s2-2_P351-10LIF3i_Oct4_hg38_i53.sorted_mapped_unique_dup.bam,pooled_input,BAM/00_0A0K_01E7JHU_RUES02-Pooled_Input_hg38_i95.sorted_mapped_unique_dup.bam,IDRsim/OCT4_L3i.bed,bed